id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
81,पूरी,"[{""sounds"":[""p""],""id"":18,""letters"":[""प""],""usageCount"":400},{""sounds"":[""uː""],""id"":28,""letters"":[""ू""],""usageCount"":345},{""sounds"":[""ɾ""],""id"":24,""letters"":[""र""],""usageCount"":1768},{""sounds"":[""iː""],""id"":16,""letters"":[""ी""],""usageCount"":2164}]",44,NOUN,,,
82,पूछा,"[{""sounds"":[""p""],""id"":18,""letters"":[""प""],""usageCount"":400},{""sounds"":[""uː""],""id"":28,""letters"":[""ू""],""usageCount"":345},{""sounds"":[""t"",""ʃʰ""],""id"":8,""letters"":[""छ""],""usageCount"":165},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039}]",45,VERB,,,
83,मैंने,"[{""sounds"":[""m""],""id"":11,""letters"":[""म""],""usageCount"":1256},{""sounds"":[""ɛː""],""id"":2,""letters"":[""ै""],""usageCount"":1282},{""sounds"":[""◌̃""],""id"":42,""letters"":[""ं""],""usageCount"":1211},{""sounds"":[""n""],""id"":3,""letters"":[""न""],""usageCount"":1265},{""sounds"":[""eː""],""id"":4,""letters"":[""े""],""usageCount"":3806}]",18,,,,
84,चाहता,"[{""sounds"":[""t"",""ʃ""],""id"":36,""letters"":[""च""],""usageCount"":170},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039},{""sounds"":[""ɦ"",""ə""],""id"":34,""letters"":[""ह""],""usageCount"":434},{""sounds"":[""t""],""id"":9,""letters"":[""त""],""usageCount"":1140},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039}]",11,VERB,,,
85,कल,"[{""sounds"":[""k"",""ə""],""id"":27,""letters"":[""क""],""usageCount"":474},{""sounds"":[""l""],""id"":39,""letters"":[""ल""],""usageCount"":685}]",14,NOUN,,,
86,रुकना,"[{""sounds"":[""ɾ""],""id"":24,""letters"":[""र""],""usageCount"":1768},{""sounds"":[""ʊ""],""id"":7,""letters"":[""ु""],""usageCount"":432},{""sounds"":[""k"",""ə""],""id"":27,""letters"":[""क""],""usageCount"":474},{""sounds"":[""n""],""id"":3,""letters"":[""न""],""usageCount"":1265},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039}]",4,,,,
87,लूँ,"[{""sounds"":[""l""],""id"":39,""letters"":[""ल""],""usageCount"":685},{""sounds"":[""uː""],""id"":28,""letters"":[""ू""],""usageCount"":345},{""sounds"":[""◌̃""],""id"":29,""letters"":[""ँ""],""usageCount"":285}]",7,VERB,,,
88,तुम,"[{""sounds"":[""t""],""id"":9,""letters"":[""त""],""usageCount"":1140},{""sounds"":[""ʊ""],""id"":7,""letters"":[""ु""],""usageCount"":432},{""sounds"":[""m""],""id"":11,""letters"":[""म""],""usageCount"":1256}]",64,PRONOUN,,,
89,बेटा,"[{""sounds"":[""b""],""id"":38,""letters"":[""ब""],""usageCount"":569},{""sounds"":[""eː""],""id"":4,""letters"":[""े""],""usageCount"":3806},{""sounds"":[""ʈ""],""id"":53,""letters"":[""ट""],""usageCount"":135},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039}]",10,NOUN,,,
90,पहन,"[{""sounds"":[""p"",""ə""],""id"":25,""letters"":[""प""],""usageCount"":505},{""sounds"":[""ɦ"",""ə""],""id"":34,""letters"":[""ह""],""usageCount"":434},{""sounds"":[""n""],""id"":3,""letters"":[""न""],""usageCount"":1265}]",4,VERB,,,
